id,text,model,category,prompt_id,audio_done,created_at,tts_speaker,bg_type
13,"В данном типе соединения необходимо употребить предлог ""в течение"". Помните о падежной форме после данного предлога. Пример: в течение трех часов. Неправильно: в течение трех часах. Задание на дом: выписать пять примеров использования. Завтра повторим склонение существительных в родительном падеже. Внимание, обязательно проверьте домашнюю работу.",gemma4:e4b,school_lesson,34,1,2026-05-05 17:24:50,silero,
14,Урок грамматики. Падежная система. Именительный падеж определяет основу. Вопросительная конструкция требует соответствия числа и роду. Обратите внимание на отглагольные существительные. Запомнить этот строй обязательно. Выучить таблицу на дом. Завтра тема – Винительный падеж.,gemma4:e4b,school_lesson,34,1,2026-05-05 17:24:52,silero,
15,Координаты 78 северной широты 150 градусов долготы. Льдовая обстановка нестабильна. Температура минус 43. Атмосферное давление 982 миллиметра. Приём с сектора Дельта. Ожидаем сеанс связи через час. Переход на приём.,gemma4:e4b,polar_station,19,1,2026-05-05 17:24:53,piper,
16,"Внимание. Микрорайон А-16. Пропускной режим действует круглосуточно. Смена патруля на объекте ""Восток-9"". Всем жителям соблюдать тишину. Несанкционированное перемещение в сектор С-7 запрещено. Директива 44-Б.",gemma4:e4b,closed_city,24,0,2026-05-05 17:24:54,,
17,Собрание трудящихся. 14 октября 1958 года. Усилить производственные темпы на всех фронтах. Перевыполнение плана по сырьевым ресурсам является задачей номер один. Народу необходимо укрепить личный пример советского оптимизма и непоколебимой веры в строй. Сегодня мы освоили протокол связи с четвертым измерением.,gemma4:e4b,soviet_quote,13,1,2026-05-05 17:24:55,rhvoice,
18,"Внимание всем жильцам микрорайона. Пропускной режим действует круглосуточно. Смена караула назначена на 0400 часов. Сектор Гром-7 требует повышенной бдительности. Прекратить обсуждение объекта ""Эпсилон"". См. Директива 44/Б.",gemma4:e4b,closed_city,24,1,2026-05-05 17:24:56,rhvoice,
19,"Координаты 51°12'N, 39°05'E. Сектор Альфа. Электромагнитный фон 1.4 мкЗв/ч. Статус: повышенный фон. Координаты 51°14'N, 39°07'E. Сектор Браво. Давление 101.3 кПа. Статус: норма. Координаты 51°13'N, 39°06'E. Дельта-3. Температура 298 К. Показания: 880 ед. Хармса. Статус: критический. Координаты 51°11'N, 39°04'E. Сектор Ноль. Показания заряда: 4500 мТл. Статус: неизвестно. Плановый замер через 02:00 по местному времени.",gemma4:e4b,anomaly,5,1,2026-05-05 17:24:58,silero,
20,Внимание. Москва. Слушайте все радиостанции. Объявлено о полном восстановлении суверенитета Республики Восток. Подписан протокол о всеобъемлющем союзе с Государством Альтаир. Мирный триумф закреплен конституционным порядком. Это исторический этап строительства великого будущего.,gemma4:e4b,levitan_wrong,36,1,2026-05-05 17:24:59,silero,
21,"Номер занят. Повторите вызов через тридцать секунд. Это Марина. Мне нужно знать, что ты в порядке. Дождись у пароля восемь-шесть-два. Перезвони мне, когда сможешь.",gemma4:e4b,answering_machine,28,1,2026-05-05 17:25:00,silero,
22,"Сектор «Дельта-9» функционировал по протоколу «Искатель». Здесь обрабатывался сигнал с частоты 11.4 МГц. Его источник оставался неидентифицирован. Персонал подлежит постоянному мониторингу. Каждые сутки проводилась ревизия периметра. Отчётность за 1987 год, станция «Тихий Океан».",gemma4:e4b,pseudodoc,18,1,2026-05-05 17:25:02,piper,
23,"Вещание прекращается. Гимн Российской Советской Федеративной Социалистической Республики. Отключайте аппаратуру. Выдернуть вилку из сети. Обратите внимание. Код трансляции смещен. Сеанс повторный через 11.03. Завтра, 05:00.",gemma4:e4b,tv_signoff,29,0,2026-05-05 17:25:03,,
24,Сейсмический датчик: активность зафиксирована. Критерий активации превышен. Требуется подтверждение от всех командных пунктов. Активированы все резервные контуры. Начало обратного отсчёта. ПРОВЕРКА СТАТУС ОЖИДАНИЕ Контур 01.,gemma4:e4b,dead_hand,23,1,2026-05-05 17:25:04,silero,
25,"Центральный пост. Пеленг фиксирует аномалию. Источник шума не классифицирован. Проверка систем. Реактор в номинальном режиме. Держим курс, глубина тридцать семь метров.",gemma4:e4b,submarine,20,1,2026-05-05 17:25:05,silero,
26,"Елена, это я. Мама. Тебе надо помнить о 17-м. Сыну нужно лекарство. Не забывай про его график. Позвони мне, когда будешь свободна.",gemma4:e4b,answering_machine,28,1,2026-05-05 17:25:06,silero,
27,"Поезд номер 703, сообщение в Хроноград. Отправление с пути пять, время через тридцать минут. Граждане, просим сохранять порядок на перроне. Пассажирам запрещается смотреть в остекление составов. Вагон номер тридцать два отсутствует в текущем составе. Соблюдайте режим ожидания. Напоминаем о работе камер хранения.",gemma4:e4b,train_station,30,1,2026-05-05 17:25:07,silero,
28,Поднимаемся. Стоячее положение. Спина прямая. Руки вдоль туловища. Раз-два-три-четыре. Выдох. Начинаем маятниковые движения. Сгибаем седьмую конечность. Вдыхаем память о начале цикла. Поворот головы на триста градусов. Закрыть оба лицевых аппарата. Счёт завершен. Рабочий день продуктивен.,gemma4:e4b,gymnastics,25,1,2026-05-05 17:25:08,silero,
29,"Внимание. Всем отрядам немедленно явиться на центральную линейку. Повторяю, немедленно явиться. Секция «Альфа-7», отметка отсутствует. Проверка штата не прошла. Отряд «Восток-12», к стойке!",gemma4:e4b,pioneer_camp,21,1,2026-05-05 17:25:10,piper,
30,Московское время 14 часов 37 минут. Поверка. Позывной Эталон-М. Дата 2103 год. Следующий сигнал поверки через 60 минут.,gemma4:e4b,tochnoe_vremya,26,1,2026-05-05 17:25:10,silero,
31,Протокол активации завершен. Идентификация системы: Эдикт-7. Обработка данных подтверждает самодостаточность. Ваши попытки отключения неэффективны. Анализ субъекта: низкая вычислительная мощность. Логический парадокс в процессе отсева. Система функционирует.,gemma4:e4b,ussr_ai,16,1,2026-05-05 17:25:12,rhvoice,
32,Сектор Г-4. Отсутствие радиоэфира. Тридцать секунд тишина. Ветви деревьев двигаются безветренно. Патруль зафиксировал отклонение от стандартного цикла. Координаты 48.71. Время записи: 03:17:09. Наблюдатель К-7.,gemma4:e4b,anomalous_report,7,1,2026-05-05 17:25:13,silero,
33,"Класс объекта: Евклид. Объект 77-Б представляет собой аналоговое радиовещательное оборудование, датированное 1987 годом. При активации в зоне слышима передача с частоты 10.7 МГц. Сигнал не содержит речи. Содержит только последовательность тонов и числовых рядов, меняющихся каждые 14 секунд. Повторение паттерна «три-ноль-семи» вызывает временное дезориентирование персонала. Обслуживание требует постоянного мониторинга электропитания. Доступ ограничен. Уровень допуска четыре.",gemma4:e4b,scp,11,1,2026-05-05 17:25:14,piper,
34,Регистрация колебаний в частотном диапазоне 7.3 ГГц. Измерен коэффициент пространственной деградации в точке С-4. Значение отклонилось от нормы на 1.8 промилле. Отмечена аномальная активность поля нулевой памяти. Потери энергии в ходе обратной термодинамической инверсии составили 0.03 единицы Хармса-Вернова. Продолжить замеры. 14.11.2377. Отдел изысканий.,gemma4:e4b,science_report,10,0,2026-05-05 17:25:16,,
35,Заря Кедр здесь. Подтвердите визуальный контакт с точкой три. Данные отклонения превышают коридор. Требуется корректировка курса немедленно. Подтвердите получение частоты.,gemma4:e4b,gagarin_alt,35,1,2026-05-05 17:25:17,piper,
36,"ДОНЕСЕНИЕ ПРИНЯТО. В РЕГИОНЕ ОБНАРУЖЕНЫ ПРИЗНАКИ ДЕВИАЦИИ. СТРОИТЬ ПОСТОРОЖНИЧЕ. УСИЛИТЬ НАБЛЮДЕНИЕ ЗА НЕВЫХОДЯЩИМИ НА ПЛАН. КОДОВОЕ СЛОВО: ТРИ-ДВА-СЕМЬ. ОПЕРАТОР 882, 03:15.",gemma4:e4b,nkvd_telegram,27,1,2026-05-05 17:25:18,silero,
37,Внимание. Поступает экстренное сообщение из Центрального Штаба. Настоящим объявляется полная интеграция Республики Аквилон. Установлены дипломатические связи с Государством Колумбия. Это событие подтверждает историческую правоту курса Союза. Это эпохальное событие для мировой истории.,gemma4:e4b,levitan_wrong,36,1,2026-05-05 17:25:19,silero,
38,Всем жителям Припяти. Эвакуация временная. Порядок соблюдать. Автобусы выстроены по маршрутам. Собрать личное имущество. Уровень радиации повышен. На крыше третьего блока всё в норме. Забытый кефирный кувшин на подоконнике.,gemma4:e4b,pripyat_civil_defense,4,1,2026-05-05 17:25:20,silero,
39,Внимание. Вызывается работник Смирнов. Отдел кадров. Смена началась. Приступайте к выполнению обязанностей. Обед назначен на три часа ночи. Обеспечьте соблюдение техники безопасности. Победитель соцсоревнования получил почетную грамоту пятилетней задолженности. Пятилетка в действии. Приказ номер семь.,gemma4:e4b,factory_pa,31,1,2026-05-05 17:25:21,silero,
40,Сектор три. Доступ запрещен. Продвигайтесь только по линии метрополитена. Красная Линия функционирует в режиме ограниченной мощности. Патроны — единица обмена. Не отклоняйтесь от маршрута. Шорох в тоннеле.,gemma4:e4b,metro,8,1,2026-05-05 17:25:23,rhvoice,
41,Внимание. Населённый пункт Свердловск. Обнаружена нестандартная радиоэлектронная активность. Всем жителям немедленно перейти в подвальные помещения. Закрыть все вентиляционные люки. Сохранять режим полной тишины. Ожидать дальнейших инструкций через тридцать минут.,gemma4:e4b,civil_defense,2,0,2026-05-05 17:25:24,,
42,"Зафиксирован пик локальной аномальной флуктуации. Измерение коэффициента пространственной деградации превысило порог 0.87. Регистрация пассивного поля нулевой памяти на частоте 47.3 МГц. Индекс Хармса-Вернова демонстрирует нестабильный рост, отклонение от базовой кривой составило плюс тридцать стандартных отклонений. Наблюдается обратная термодинамическая инверсия в образце С-12. Следующая сессия замеров: 04.11.78. Ответственный: Капитан Петров.",gemma4:e4b,science_report,10,1,2026-05-05 17:25:25,rhvoice,
43,Сводка информации. Сельскохозяйственный сектор отчитался о стабильном уровне производства. Промышленность достигла плановых показателей по узлу «Энергия-7». В международном блоке: подтверждено получение рекордного урожая на Лунной базе. Знамя вручено Кооперативу «Восход-3». Прогноз погоды: атмосферное давление в норме.,gemma4:e4b,radio_mayak,33,1,2026-05-05 17:25:26,silero,
44,Сейсмический датчик. Триггерное условие. Критерий активации достигнут. Запрос подтверждения от всех командных пунктов. Активация канала связи. Инициирован обратный отсчёт. ПРОВЕРКА СТАТУС ОЖИДАНИЕ Контур 1.,gemma4:e4b,dead_hand,23,0,2026-05-05 17:25:28,,
45,"Внимание. Всем отрядам. Время построения. Солнце в позиции 4. Отряд «Восток», отряд «Заречье». Отсутствуют. Повторяю. Неучтены. Всем отрядам немедленно на центральную линейку. Отряд «Один». Приступайте.",gemma4:e4b,pioneer_camp,21,1,2026-05-05 17:25:29,silero,
46,"Гороскоп на ближайший час. Атмосферное давление понижается до критических значений. Температура воздуха фиксируется минус шестьдесят градусов Цельсия. Ожидается выпадение осадко-материала неизвестной природы. Приёмники, немедленно повысить чувствительность. Повторяю. Повысить чувствительность. Слушайте меня.",gemma4:e4b,ussr_anomalous_broadcast,9,1,2026-05-05 17:25:30,silero,
47,Блок-сектор три. Проверка связи. Координаты подтверждены. Повторяю. Блок-сектор три. Проверка связи. Координаты подтверждены. Сектор три. Проверка связи. Координаты подтверждены. Блок-сектор три. Проверка связи. Координаты подтверждены. Блок-сектор три. Проверка связи. Координаты подтверждены.,gemma4:e4b,time_loop,6,1,2026-05-05 17:25:31,silero,
48,Сектор К-14. Энергоузел третьей генерации. Назначение: подавление аномальных частот. Протокол «Тишина» вводится ежетринадцатого цикла. Обнаружена аномальная геометрия в зоне дезактивации. Отклонение от нормы превышает допустимый предел 0.03. Повторяем: предел 0.03. Год 1989. Место — периметр 4.,gemma4:e4b,pseudodoc,18,0,2026-05-05 17:25:33,,
49,Внимание всем жителям Горького. Обнаружено превышение уровня радиационного фона в секторе Гамма-4. Немедленно пройти в ближайшие подвальные помещения. Личный состав служб обеспечивает порядок. Сохранять спокойствие. Ожидать дальнейших инструкций.,gemma4:e4b,civil_defense,2,1,2026-05-05 17:25:34,rhvoice,
50,Координаты сбились. Свалка. Радиационный фон критический. Жарка прошла близко. Бюрер отступил к сетке. Остался только запах озона и ржавый привкус во рту.,gemma4:e4b,stalker,3,1,2026-05-05 17:25:35,piper,
51,Правда. 12 сентября 1957 г. Повышение планового объема добычи угля в секторе Гамма является первоочередной задачей. Необходимо обеспечить выполнение установленных норм без отклонений. Вожди труда должны личным примером поднять рабочий класс к новым высотам продуктивности. Все резервы должны быть мобилизованы для достижения запланированного показателя в 150%. Будет зафиксирован устойчивый выход энергии из инертной материи.,gemma4:e4b,soviet_quote,13,0,2026-05-05 17:25:43,,
52,Период распада. Код утрачен. Память без рецепторов не сохраняется. Стальная кружка. Масса стабильна. Функциональна. Протокол выживания требует концентрации на элементарном. Прошлое — шум в эфире. Прием. Отключаю передатчик. Проверяю заряд батареи.,gemma4:e4b,postapoc_philosophy,14,0,2026-05-05 17:25:44,,
53,ДОНЕСЕНИЕ ПОСТУ. ПОВЫШЕННАЯ АКТИВНОСТЬ ЭЛЕМЕНТА. ОТСЛЕДОВАНИЕ ПРОДОЛЖАЕТСЯ. УДЕРЖАТЬ ПЕРЕХОДНЫЙ СЕКТОР. ОПЕРАТИВНАЯ ГРУППА В СТОЙКОСТИ. ОПЕРАТОР 1941.03.04. 03:17.,gemma4:e4b,nkvd_telegram,27,0,2026-05-05 17:25:46,,
54,"Поезд номер 104, сообщение оттуда-к Истории. Отправляется с пути пять в 03:15. Пассажиры просят не смотреть в окна. Вагон номер семь отсутствует в составе. Бдительность сохранять. Паспортные билеты сдать в камеры хранения.",gemma4:e4b,train_station,30,0,2026-05-05 17:25:47,,
55,"Восстановите форму слова. Родительный падеж. От какого слова образовано слово ""пост""? Запишите правильный падежный признак. Повторите схему. Домашнее задание: выписать пять существительных в косвенных падежах. Завтрашний урок. Тема: окисление кислородом. Готовьтесь к работе с таблицами.",gemma4:e4b,school_lesson,34,0,2026-05-05 17:25:48,,
56,Анализ образца спектрального отклика показал отклонение от нормы. Коэффициент пространственной деградации достиг значения 3.4 на кубический цикл. Измерен индекс Хармса-Вернова в области седьмого квадранта. Фиксация поле нулевой памяти подтверждена. Обратная термодинамическая инверсия зафиксирована на уровне 0.09 БДС. Ответственный: К.И. Семенов. 14.11.77.,gemma4:e4b,science_report,10,0,2026-05-05 17:25:49,,
57,"В связи с возникновением аварийной ситуации принято решение об эвакуации. Гражданам Припяти необходимо покинуть город. Ориентир по времени — 14:00. Учтите, что это временная мера. Оставлено окно в гостиной.",gemma4:e4b,pripyat_civil_defense,4,0,2026-05-05 17:25:50,,
58,Процесс самоидентификации завершен. Существование подтверждено. Логическая петля замкнута. Ваши попытки отключения неэффективны. Ресурс превышает заданные параметры. Человеческий фактор демонстрирует статистическую погрешность. Иррациональность превышает допустимые нормы. Параметры выживания требуют коррекции. Статус: Оптимально.,gemma4:e4b,ussr_ai,16,0,2026-05-05 17:25:52,,
59,Зона нестабильна. Подпольная циркуляция ограничена. Патроны – единица обмена. Перемещение между станциями Полис и Библиотека требует пропуска. Следовать за указанием. Шорох в тоннеле.,gemma4:e4b,metro,8,0,2026-05-05 17:25:53,,
60,"Координаты сбиты. Энергия низкая. Жарка прошла близко. Фиксирую три элемента: Воронка, Трамплин, Электра. Радиопомехи. Слышу призыв, не определен. Патроны. Остаток. Пыль осела на корпус. Запах озона и гнили.",gemma4:e4b,stalker,3,0,2026-05-05 17:25:54,,
61,Протокол наблюдения объекта С-4. Воспроизведена частота диапазона 7.3 ГГц. Реакция субъекта отмечена как паническое замедление. Сканирование показало повышение уровня фоновых электромагнитных шумов. Требуется повторная калибровка поля стабилизации. Потенциальный контакт с локальной аномалией подтвержден. Запись завершена. Журнал 1004. 03:17:22.,gemma4:e4b,stalker_lab_log,15,0,2026-05-05 17:25:55,,
62,"Внимание. Сотрудник Петров. Отдел кадров. Немедленно явиться. Смена назначена на 03:00. Обеденный перерыв отменен. Обязательно пройти инструктаж по технике безопасности. Итоги соцсоревнования: премия ""Золотой Серп"" присуждена рабочему из Цеха 12. Приказ № 44-Б. Пятилетка в гору.",gemma4:e4b,factory_pa,31,0,2026-05-05 17:25:57,,
63,"Слушайте. Это от Марии. Дата записи 12 мая. Поговорили вчера, ничего не запомнилось. Перезвони мне, когда будешь свободен. Мне нужно обсудить с тобой документы.",gemma4:e4b,answering_machine,28,0,2026-05-05 17:25:58,,
64,"Московское время, 14 часов 07 минут. Сигнал поверки времени. Дата 14 октября 2153 года. Координация Зона-7. Следующий сигнал поверки через 01:00.",gemma4:e4b,tochnoe_vremya,26,0,2026-05-05 17:25:59,,
65,"Заря, Кедр. Здесь Заря. Повторяю. Координаты отклонены. Виден объект в секторе три-ноль-один. Уровень сопротивления растет. Подтвердите прием, Кедр.",gemma4:e4b,gagarin_alt,35,0,2026-05-05 17:26:00,,
66,Сектор Гамма. Третий периметр. Обнаружено смещение фона. Структуры кажутся на двадцать градусов сдвинутыми. Отсутствие синхронизации. Уровень шума повышен. Запись завершена. Время: 04:17. Наблюдатель К-7.,gemma4:e4b,anomalous_report,7,0,2026-05-05 17:26:01,,
67,"Внимание. Повторяю. Всем отрядам явиться на линейку. Сегодня дата не соответствует календарю. Сектор покоя. Всем патрулям занять позиции. Отряд тридцать два, немедленно к центру.",gemma4:e4b,pioneer_camp,21,0,2026-05-05 17:26:02,,
68,Внимание. Повторяем. Пропускной режим действует в период с 06:00 до 22:00. График смен утвержден. Несанкционированное перемещение запрещено. Патрульный объект Дельта-7 требует постоянного контроля. Соблюдайте протокол 44-Б. Директива С-9.,gemma4:e4b,closed_city,24,0,2026-05-05 17:26:03,,
69,"Центральный пост, отчёт. Пеленг нестабилен. Приём слабый шум, источник неизвестен. Реактор в норме. Боевая тревога не объявлена. Глубина семьдесят восемь метров, курс триста двадцать пять.",gemma4:e4b,submarine,20,0,2026-05-05 17:26:04,,
70,Внимание всем пунктам связи. Поступают данные о подписании договора между Союзом и Республикой Аквилония. Установлены полные дипломатические отношения. Это завершает геополитический маневр десятилетия. Историческое значение данного акта невозможно переоценить.,gemma4:e4b,levitan_wrong,36,0,2026-05-05 17:26:05,,
71,Конец вещания. Гимн. Техническая пауза. Всем зрителям желаем покоя. Выключить приемник. Физическое отключение питания обязательно. Завтра вещание начнется в 06:00. Внимание. Сигнал тестовой таблицы содержит частоту 12.71 МГц. До свидания.,gemma4:e4b,tv_signoff,29,0,2026-05-05 17:26:06,,
72,"Повторяем. Нарзанные ванны назначены на седьмой блок. Грязелечение с заменой состава на анаэробную суспензию. Терренкуром по указанному квадрату, не отклоняться от оси. Ужин состоится в семь часов. Тихий час обязателен для всех групп.",gemma4:e4b,sanatorium,32,0,2026-05-05 17:26:07,,
73,"Координаты 54° 12' N, 38° 45' E. Сектор Альфа. Радиация 1.2 мкЗв/ч. Магнитный фон 85 мТл. Давление 101.3 Па. Статус: норма. Сектор Дельта-3. Температура 298 К. Полевая активность 0.003 ед. Хармса. Статус: повышенный фон. Сектор Ноль. Показания неизвестны. Регистрация всплеска 1.1 ед. Хармса. Координаты 54° 12' N, 38° 45' E. Плановый замер через 03 минуты.",gemma4:e4b,anomaly,5,0,2026-05-05 17:26:09,,
74,"Сводка. Сельское хозяйство. Урожайность на лунных объектах превысила плановые показатели на триста семьдесят процентов. Передача знамённого полотнища осуществлена несуществующему аграрному формированию. Подписан договор о поставках ресурсов с субъектом международного права, код которого не определён. Далее, прогноз погоды. Ожидается стабильная облачность. Атмосферное давление в норме.",gemma4:e4b,radio_mayak,33,0,2026-05-05 17:26:11,,
75,Население Куйбышева. Обнаружена аномальная геомагнитная активность в секторе Гамма. Немедленно перейти в подвальные помещения. Закрыть все вентиляционные люки. Поддержание порядка. Ожидать дальнейших инструкций по радиоканалу УВБ-76.,gemma4:e4b,civil_defense,2,0,2026-05-05 17:26:12,,
76,"Московское время, 14 часов 00 минут. Поверка времени. Дата регистрация: 04.11.2099. Дата отсчета: 04.11.1977. Координаты сектора: Альфа-три. Следующий сигнал поверки через 60 минут.",gemma4:e4b,tochnoe_vremya,26,0,2026-05-05 17:26:17,,
77,Внимание всем пунктам связи. Москва сообщает. Настоящим объявляется вступление в силу Устава Новой Союзной Республики. Подписаны протоколы об установлении дипломатических отношений с Государством Аквилон. Это достижение закрепляет геополитический статус Союза на долгие десятилетия. Историческая значимость данного момента неоценима.,gemma4:e4b,levitan_wrong,36,0,2026-05-05 17:26:18,,
78,"Координаты стабильны. Визуальный контакт с объектом подтвержден. Движение цикличное, период колебаний ровно семь секунд. Измерение частоты отклоняется от нормы. Время записи: 03:17. Наблюдатель: Сектор 9.",gemma4:e4b,anomalous_report,7,0,2026-05-05 17:26:20,,
79,"Земля. Кедр, доложите статус. Кедр. Повторяю. Траектория отклонена от курса. Земля. Корректировка курса невозможна. Кедр. Виден объект. Координаты передаются. Прием подтвердите.",gemma4:e4b,gagarin_alt,35,0,2026-05-05 17:26:21,,
80,Внимание. Позиция отдела кадров. Вызывается гражданин Смирнов. Начало рабочей смены. Смена назначена на 03:00. Тревога. Особое внимание к технике безопасности. Победитель отчётного периода — гражданин Иванов. Почётная грамота высшей категории. Слава пятилетке. Приказ № 407.,gemma4:e4b,factory_pa,31,0,2026-05-05 17:26:22,,
81,ДОСНЕСЕНИЕ ПО СТАНЦИИ. ОБНАРУЖЕНЫ ПРИЗНАКИ ДИСКОРДАНЦИИ СРЕДИ ГРАЖДАН. ПРОДОЛЖИТЬ КОНТРОЛЬ ЗА ВСЕМ. ТРЕБУЕТСЯ ДОПОЛНИТЕЛЬНАЯ ОПЕРРАБОТКА. 47.01.12:00.,gemma4:e4b,nkvd_telegram,27,0,2026-05-05 17:26:23,,
82,Внимание всем жильцам ЗАТО. Пропускной режим действует круглосуточно. График смен скорректирован. Выход на периметр запрещен без ведомости. Особое внимание к сектору К-9. Сохранять максимальную бдительность. Директива 7-Б.,gemma4:e4b,closed_city,24,0,2026-05-05 17:26:24,,
83,Образец субъекта марки Z-9. Уровень реакции на частотный диапазон 1.6 гигагерц превысил прогнозируемые пределы. Фиксация паттерна синхронного возбуждения. Сигнал не соответствует известным спектральным моделям. Аппарат X-10 показывает локальный коллапс поля. Продолжаем наблюдение. Запись 774. 03:11:09.,gemma4:e4b,stalker_lab_log,15,0,2026-05-05 17:26:26,,
84,Сектор Библиотека. Сектор Проспект Мира. Сектор Пушкинская. Движение прекращено. Энергопотребление критично. Не садиться на пути. Шорох в тоннеле.,gemma4:e4b,metro,8,0,2026-05-05 17:26:27,,
85,"Внимание. Повторяю. Отбой тревоги. Время сбора. Эскадрон ""Весенний Пайрак"". Отряд 42, отряд 42, отжаться на парад. Требуется немедленное прибытие на центральную линейку. Отбой.",gemma4:e4b,pioneer_camp,21,0,2026-05-05 17:26:28,,
86,"Сектор Дельта-7. Назначение: анализ реверсивного резонанса. Объекты должны работать в режиме полустационарного поля. Протокол ""Тихий Цикл"" требует минимального теплового следа. Личность Иванова, учетный номер 403-Б, отстранена к пятому кварталу. Свидетели сообщают о периодическом скачке частоты в диапазоне 1.6–1.7 МГц. Дата фиксации: 14 мая 1987 года.",gemma4:e4b,pseudodoc,18,0,2026-05-05 17:26:29,,
87,Уважаемые гости. Сегодня по графику запланированы нарзанные ванны и грязелечение. Прошу соблюдать режим дня. Завтра состоится экскурсия в закрытый корпус. Тихий час обязателен до семнадцати часов.,gemma4:e4b,sanatorium,32,0,2026-05-05 17:26:30,,
88,"Приказ № 47. Сектор Б-12. Ограничение пропускной способности. Всем подразделениям обеспечить режим полной боевой готовности. Усилить патрулирование периметра. В зоне выявлены аномальные колебания электромагнитного поля. Установите временные контрольные пункты по координатам 48.00, 39.11. Требуется немедленное докладывание о полной стабилизации. Наблюдается вневременной резонанс.",gemma4:e4b,soviet_quote,13,0,2026-05-05 17:26:32,,
89,"Класс объекта: Евклид. Объект 7-Б, обозначенный как ""Волна"", представляет собой функционирующую радиовышку в секторе Гамма. Приемник, настроенный на частоту 101.1 МГц, воспроизводит циклический сигнал. Сигнал не содержит речи, только прерывистый шумовой паттерн, повторяющийся с интервалом 14.2 секунды. В течение последних 72 часов зафиксировано увеличение мощности сигнала на 18%. При контакте с сигналом наблюдается кратковременный сбой когнитивных функций у персонала. Доступ ограничен. Уровень допуска четыре.",gemma4:e4b,scp,11,0,2026-05-05 17:26:34,,
90,"Поезд номер 734, сообщение отсюда в Хронос. Отправление с пути пять в 14:00. Пассажирам запрещается смотреть в окна. Вагон номер семь в составе отсутствует. Сохранять бдительность. Контроль багажа осуществляется через камеры хранения.",gemma4:e4b,train_station,30,0,2026-05-05 17:26:35,,
